iter	R2	RMSE
757	0.5985965669	210554.9918
758	0.5986323518	210545.6062
759	0.5987299329	210520.0106
760	0.598735419	210518.5715
761	0.5987604204	210512.013
762	0.5988041689	210500.5363
763	0.5988190468	210496.6332
764	0.5988326467	210493.0653
765	0.5988599997	210485.8891
766	0.5988948885	210476.7354
767	0.5989099578	210472.7816
768	0.5989237171	210469.1715
769	0.5989709432	210456.7799
770	0.5989774765	210455.0656
771	0.5989928947	210451.0199
772	0.5990028647	210448.4037
773	0.5990226777	210443.2046
774	0.5990319323	210440.776
775	0.5990640843	210432.3387
776	0.5990665314	210431.6965
777	0.5990813886	210427.7975
778	0.5990836299	210427.2093
779	0.5991286011	210415.4071
780	0.5991306604	210414.8666
781	0.5991485221	210410.1788
782	0.5991574003	210407.8487
783	0.5992140082	210392.991
784	0.5992350997	210387.4549
785	0.5992374424	210386.84
786	0.5992461553	210384.553
787	0.5993087491	210368.1224
788	0.5993513546	210356.9378
789	0.5993926193	210346.1047
790	0.5993974012	210344.8493
791	0.5994192755	210339.1065
792	0.5994214269	210338.5416
793	0.599428026	210336.8091
794	0.5994489319	210331.3203
795	0.5994605725	210328.264
796	0.5994811518	210322.8607
797	0.5995041813	210316.8139
798	0.5995159476	210313.7244
799	0.5995287124	210310.3727
800	0.5995370172	210308.192
801	0.5995532238	210303.9364
802	0.5995809641	210296.652
803	0.5996058405	210290.1195
804	0.5996205089	210286.2675
805	0.5996261556	210284.7846
806	0.5996451793	210279.7887
807	0.5996983962	210265.8126
808	0.5997259379	210258.5791
809	0.5997479369	210252.8011
810	0.5998044112	210237.9676
811	0.5998136706	210235.5354
812	0.5998208905	210233.6389
813	0.59983525	210229.867
814	0.5998472034	210226.7271
815	0.5998920786	210214.9388
816	0.5998974329	210213.5322
817	0.59998962	210189.3133
818	0.5999936223	210188.2618
819	0.6000012491	210186.258
820	0.6000433074	210175.2076
821	0.6000477265	210174.0465
822	0.600052952	210172.6735
823	0.600095407	210161.5181
824	0.6001293837	210152.59
825	0.6001408596	210149.5744
826	0.6001784891	210139.6859
827	0.6001979631	210134.5683
828	0.6002063864	210132.3546
829	0.6002333885	210125.2583
830	0.6002476433	210121.512
831	0.6002501096	210120.8638
832	0.6002688665	210115.9341
833	0.6002700247	210115.6297
834	0.6003142632	210104.0026
835	0.6003354423	210098.4359
836	0.6003466252	210095.4965
837	0.6003733953	210088.4599
838	0.6004446853	210069.7201
839	0.6004601304	210065.6599
840	0.6004786061	210060.8028
841	0.6004804483	210060.3185
842	0.6004897777	210057.8659
843	0.6005305383	210047.1499
844	0.6005670041	210037.5625
845	0.6005772844	210034.8596
846	0.600603194	210028.0473
847	0.6006378594	210018.9325
848	0.6006418377	210017.8864
849	0.6006440318	210017.3095
850	0.6006712975	210010.14
851	0.6006964296	210003.5313
852	0.6007041491	210001.5013
853	0.600768974	209984.454
854	0.6007700967	209984.1587
855	0.6007803339	209981.4665
856	0.6008127775	209972.9339
857	0.6008323194	209967.7943
858	0.6008563025	209961.4865
859	0.6008765747	209956.1546
860	0.6009092277	209947.5659
861	0.600941678	209939.0303
862	0.6010345922	209914.5885
863	0.6010889812	209900.2796
864	0.6010926759	209899.3076
865	0.6011035304	209896.4518
866	0.6011351539	209888.1316
867	0.6011457936	209885.3323
868	0.6011544246	209883.0613
869	0.6012124223	209867.8008
870	0.6012868356	209848.2194
871	0.6013208098	209839.2786
872	0.6013500321	209831.5881
873	0.6014092931	209815.9913
874	0.6014118913	209815.3075
875	0.6014519216	209804.7713
876	0.6015085759	209789.8587
877	0.6015141634	209788.3879
878	0.6015257724	209785.3321
879	0.6015513793	209778.5913
880	0.6015794533	209771.2009
881	0.6015966222	209766.681
882	0.6015989816	209766.0599
883	0.6016315341	209757.49
884	0.6016604414	209749.8794
885	0.6016780591	209745.2409
886	0.6017049819	209738.1524
887	0.6017130018	209736.0408
888	0.6017584803	209724.0661
889	0.6017699554	209721.0445
890	0.6017819357	209717.8899
891	0.6018036012	209712.1848
892	0.6018382531	209703.0598
893	0.6018530012	209699.176
894	0.6018583549	209697.7662
895	0.6018764363	209693.0045
896	0.6019047623	209685.5446
897	0.6019613398	209670.6438
898	0.6019665256	209669.278
899	0.6019855709	209664.2617
900	0.6019926217	209662.4046
901	0.602025168	209653.8321
902	0.6020491952	209647.5032
903	0.6020750493	209640.6929
904	0.6020922616	209636.1588
905	0.6021018409	209633.6354
906	0.602129823	209626.264
907	0.6021470636	209621.7222
908	0.6021652365	209616.9347
909	0.6021837042	209612.0693
910	0.6021952006	209609.0406
911	0.6022612617	209591.6356
912	0.6022962927	209582.4054
913	0.6023397521	209570.954
914	0.6023574546	209566.2892
915	0.6023641065	209564.5364
916	0.6023719384	209562.4725
917	0.6023941682	209556.6146
918	0.6024020664	209554.5332
919	0.602501554	209528.314
920	0.6025126709	209525.384
921	0.6025278167	209521.3921
922	0.6025285407	209521.2013
923	0.6025451272	209516.8296
924	0.6025718586	209509.7838
925	0.6025822328	209507.0493
926	0.6025999058	209502.391
927	0.6026088624	209500.03
928	0.6026180654	209497.6042
929	0.6026358474	209492.9168
930	0.6026414115	209491.4501
931	0.6026475195	209489.84
932	0.602667435	209484.5901
933	0.6026706743	209483.7362
934	0.6026762906	209482.2556
935	0.6026935202	209477.7135
936	0.6027294221	209468.2488
937	0.602744747	209464.2086
938	0.6027711591	209457.2452
939	0.6027957797	209450.7539
940	0.6028264978	209442.6547
